Mes Año,Indice,Variación anual %,Variación mensual %,Variación año corrido %
202310,"136,45","10,48","0,25","8,27"
202309,"136,11","10,99","0,54","8,01"
202308,"135,39","11,43","0,7","7,43"
202307,"134,45","11,78","0,5","6,68"
202306,"133,78","12,13","0,3","6,15"
202305,"133,38","12,36","0,43","5,83"
202304,"132,8","12,82","0,78","5,38"
202303,"131,77","13,34","1,05","4,56"
202302,"130,4","13,28","1,66","3,47"
202301,"128,27","13,25","1,78","1,78"
202212,"126,03","13,12","1,26","13,12"
202211,"124,46","12,53","0,77","11,72"
202210,"123,51","12,22","0,72","10,86"
202209,"122,63","11,44","0,93","10,08"
202208,"121,5","10,84","1,02","9,06"
202207,"120,27","10,21","0,81","7,96"
202206,"119,31","9,67","0,51","7,09"
202205,"118,7","9,07","0,84","6,55"
202204,"117,71","9,23","1,25","5,66"
202203,"116,26","8,53",1,"4,36"
202202,"115,11","8,01","1,63","3,33"
202201,"113,26","6,94","1,67","1,67"
202112,"111,41","5,62","0,73","5,62"
202111,"110,6","5,26","0,5","4,86"
202110,"110,06","4,58","0,01","4,34"
202109,"110,04","4,51","0,38","4,33"
202108,"109,62","4,44","0,45","3,93"
202107,"109,14","3,97","0,32","3,47"
202106,"108,78","3,63","-0,05","3,13"
202105,"108,84","3,3",1,"3,18"
202104,"107,76","1,95","0,59","2,16"
202103,"107,12","1,51","0,51","1,56"
202102,"106,58","1,56","0,64","1,05"
202101,"105,91","1,6","0,41","0,41"
202012,"105,48","1,61","0,38","1,61"
202011,"105,08","1,49","-0,15","1,23"
202010,"105,23","1,75","-0,06","1,38"
202009,"105,29","1,97","0,32","1,44"
202008,"104,96","1,88","-0,01","1,12"
202007,"104,97","1,97",0,"1,12"
202006,"104,97","2,19","-0,38","1,12"
202005,"105,36","2,85","-0,32","1,5"
202004,"105,7","3,51","0,16","1,83"
202003,"105,53","3,86","0,57","1,67"
202002,"104,94","3,72","0,67","1,09"
202001,"104,24","3,62","0,42","0,42"
201912,"103,8","3,8","0,26","3,8"
201911,"103,54","3,84","0,1","3,54"
201910,"103,43","3,86","0,16","3,43"
201909,"103,26","3,82","0,23","3,26"
201908,"103,03","3,75","0,09","3,03"
201907,"102,94","3,79","0,22","2,94"
201906,"102,71","3,43","0,27","2,71"
201905,"102,44","3,31","0,31","2,44"
201904,"102,12","3,25","0,5","2,12"
201903,"101,62","3,21","0,43","1,62"
201902,"101,18","3,01","0,57","1,18"
201901,"100,6","3,15","0,6","0,6"
201812,100,"3,18","0,3","3,18"
201811,"99,7","3,27","0,12","2,87"
201810,"99,59","3,33","0,12","2,75"
201809,"99,47","3,23","0,16","2,63"
201808,"99,3","3,1","0,12","2,46"
201807,"99,18","3,12","-0,13","2,34"
201806,"99,31","3,2","0,15","2,47"
